"Sample","Num_Segments","Mean_Seg_Mean","Frac_Amp","Frac_Del","SampleType"
"TCGA-A1-A0SI-01A-11D-A141-01",57,-0.18890701754386,0.12280701754386,0.210526315789474,"Tumor"
"TCGA-A1-A0SI-10B-01D-A141-01",47,-0.337572340425532,0,0.25531914893617,"Normal"
"TCGA-A1-A0SJ-01A-11D-A087-01",417,0.174272901678657,0.354916067146283,0.316546762589928,"Tumor"
"TCGA-A1-A0SJ-10A-02D-A087-01",95,-0.558255789473684,0.0105263157894737,0.368421052631579,"Normal"
"TCGA-A1-A0SK-01A-12D-A087-01",314,-0.238888535031847,0.178343949044586,0.343949044585987,"Tumor"
"TCGA-A1-A0SK-10A-03D-A087-01",77,-0.477316883116883,0.0649350649350649,0.298701298701299,"Normal"
"TCGA-A1-A0SM-01A-11D-A087-01",117,0.0113145299145299,0.333333333333333,0.239316239316239,"Tumor"
"TCGA-A1-A0SM-10A-02D-A087-01",53,-0.464049056603774,0,0.283018867924528,"Normal"
"TCGA-A1-A0SN-01A-11D-A141-01",216,0.458768055555556,0.453703703703704,0.115740740740741,"Tumor"
"TCGA-A1-A0SN-10B-01D-A141-01",45,-0.420093333333333,0,0.244444444444444,"Normal"
"TCGA-A1-A0SO-01A-22D-A087-01",555,-0.173713513513514,0.36036036036036,0.353153153153153,"Tumor"
"TCGA-A1-A0SO-10A-03D-A087-01",63,-0.310944444444444,0.0634920634920635,0.253968253968254,"Normal"
"TCGA-A1-A0SP-01A-11D-A087-01",327,0.0368948012232416,0.342507645259939,0.253822629969419,"Tumor"
"TCGA-A1-A0SP-10A-02D-A087-01",64,-0.4597828125,0.03125,0.296875,"Normal"
"TCGA-A1-A0SQ-01A-21D-A141-01",144,0.363634027777778,0.479166666666667,0.215277777777778,"Tumor"
"TCGA-A2-A04N-01A-11D-A111-01",63,0.124122222222222,0.238095238095238,0.126984126984127,"Tumor"
"TCGA-A2-A04N-10A-01D-A113-01",67,-0.287982089552239,0.0746268656716418,0.253731343283582,"Normal"
"TCGA-A2-A04P-01A-31D-A036-01",467,-0.0885668094218415,0.299785867237687,0.323340471092077,"Tumor"
